Data,Pattern,Order,Call Count,Enumerate time (seconds)
human,query_dense_4_93,VF2++,12,8.78e-06
human,query_sparse_8_61,ORBIT,15239,0.00209787
human,query_dense_4_132,GraphQL,1122031,6.49849186
human,query_dense_4_40,DPiso,18813,0.04724963
human,query_dense_4_126,DPiso,8008,0.00249324
human,query_dense_8_90,GraphQL,141916006,122.4278454
human,query_dense_4_180,TurboISO,43892,0.18848287
human,query_sparse_8_186,ORBIT,150631768,198.70589478
human,query_dense_4_1,TurboISO,750,9.526e-05
human,query_sparse_8_158,VF2++,19679969,3.7252734
human,query_sparse_8_152,DPiso,15214916,2.6459037
human,query_dense_4_34,GraphQL,277,6.596e-05
human,query_dense_4_80,ORBIT,463,9.476e-05
human,query_dense_8_61,DPiso,7225,0.00185156
human,query_dense_4_190,ORBIT,25291,0.02682089
human,query_dense_4_34,DPiso,292,6.377e-05
human,query_dense_8_92,DPiso,3196332,0.40033987
human,query_dense_4_1,ORBIT,750,0.00010897
human,query_sparse_8_63,DPiso,43939,0.00214566
human,query_dense_4_162,ORBIT,2621,0.00039881
human,query_sparse_12_22,DPiso,181609594,12.06010411
human,query_sparse_8_157,VF2++,82880380,26.42395494
human,query_dense_4_80,DPiso,463,9.76e-05
human,query_sparse_8_183,ORBIT,10973159,1.75699912
human,query_sparse_12_101,ORBIT,3,9.16e-06
human,query_dense_4_105,ORBIT,484386,2.42327167
human,query_dense_4_136,GraphQL,143516,0.95873218
human,query_sparse_16_68,VF2++,228536288,8.6650098
human,query_dense_4_122,DPiso,69056,0.00664197
human,query_dense_4_96,GraphQL,41921,0.1381308
human,query_sparse_8_171,GraphQL,41778,0.03224418
human,query_sparse_8_108,ORBIT,19347023,4.16175617
human,query_dense_4_193,GraphQL,484386,2.7045934
human,query_dense_4_170,TurboISO,101390,0.3223347
human,query_dense_4_172,DPiso,101390,0.26790229
human,query_dense_4_8,VF2++,19994,0.01789051
human,query_sparse_12_70,VF2++,2458644256,999.55860482
human,query_sparse_8_88,ORBIT,105,1.097e-05
human,query_dense_8_16,DPiso,1642,0.00065816
human,query_sparse_16_107,VF2++,0,7.79e-06
human,query_dense_4_58,TurboISO,145,6.729e-05
human,query_dense_4_49,ORBIT,3344,0.00798448
human,query_dense_12_94,VF2++,936125477,588.3750806
human,query_dense_16_78,TurboISO,2021206317,816.72048979
human,query_sparse_12_107,ORBIT,1173356,0.03346413
human,query_sparse_8_114,VF2++,173571,0.02974729
human,query_dense_4_14,TurboISO,101390,0.28861267
human,query_sparse_8_54,TurboISO,227113048,120.79786532
human,query_dense_8_100,ORBIT,3327268046,716.5349781
human,query_dense_4_104,GraphQL,2345,0.01194581
human,query_dense_8_6,TurboISO,480262,0.53777648
human,query_sparse_16_31,GraphQL,0,9.19e-06
human,query_sparse_8_195,GraphQL,3220760505,246.63818852
human,query_sparse_8_69,DPiso,71946432,8.65933963
human,query_sparse_8_94,VF2++,423504204,73.52346942
human,query_sparse_8_129,ORBIT,11042483650,1320.35507515
human,query_dense_16_181,GraphQL,546343361,1632.85610081
human,query_dense_8_198,VF2++,37241,0.01185034
human,query_dense_4_112,VF2++,3344,0.00775269
human,query_sparse_16_160,ORBIT,1,9.28e-06
human,query_sparse_12_36,TurboISO,707930139,292.39842488
human,query_sparse_8_108,VF2++,19347023,4.15676494
human,query_dense_4_25,VF2++,274876,0.80542942
human,query_dense_8_16,TurboISO,1662,0.0003373
human,query_sparse_8_198,TurboISO,55912,0.00581347
human,query_dense_4_7,TurboISO,3,5.92e-06
human,query_dense_4_63,TurboISO,487566,2.58744205
human,query_dense_4_110,ORBIT,101297,0.09950734
human,query_dense_4_4,TurboISO,7631,0.00357967
human,query_sparse_8_175,GraphQL,730653513,285.27770834
human,query_dense_8_40,ORBIT,879432,2.6417506
human,query_sparse_12_22,GraphQL,94183609,10.63188025
human,query_dense_12_70,GraphQL,91692959,204.05918031
human,query_sparse_16_11,VF2++,0,7.88e-06
human,query_dense_16_32,VF2++,1423780342,336.45014024
human,query_dense_4_170,DPiso,101390,0.30139498
human,query_dense_4_25,ORBIT,274876,0.81624721
