1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,pattern,data
0,473,4234,14,313,4311,1886,1842,6543,94,27,420,644,833,0,query_sparse_32_4,dblp
0,233,1712,91,108,1702,260,278,0,281,100,591,1487,667,308,query_dense_24_115,dblp
0,78,196,14,32,194,0,0,0,162,32,198,0,0,42,query_dense_8_39,dblp
0,371,4135,18,64,4220,1209,950,3107,195,21,404,368,536,47,query_sparse_24_109,dblp
0,250,1724,103,49,1770,252,309,0,237,111,1074,1537,915,245,query_dense_32_86,dblp
0,389,542,11,86,545,842,36,2051,165,29,261,63,494,0,query_sparse_8_74,dblp
0,330,1791,139,277,1925,181,12,0,1345,21,231,297,108,510,query_dense_24_103,dblp
0,243,3601,31,92,3526,281,242,3007,249,72,900,931,777,22,query_sparse_24_64,dblp
0,440,3824,27,305,3908,832,890,5229,415,52,652,963,1106,0,query_sparse_24_69,dblp
0,73,1196,55,34,1231,0,0,0,167,25,190,203,54,353,query_dense_16_162,dblp
0,0,0,28,0,0,0,0,0,0,0,0,0,0,83,query_dense_4_78,dblp
0,269,502,50,24,452,168,47,0,371,82,332,664,502,152,query_dense_16_152,dblp
0,626,3849,15,361,3966,1324,843,4672,286,65,381,309,219,21,query_sparse_24_182,dblp
0,0,0,27,0,0,0,0,0,0,0,0,0,0,77,query_dense_4_124,dblp
0,302,3341,97,98,3436,380,29,0,393,162,848,1102,370,302,query_dense_32_99,dblp
0,315,175,28,63,177,302,54,0,760,2,176,249,236,146,query_dense_8_46,dblp
0,457,46,34,0,0,490,40,0,912,10,47,630,90,209,query_dense_8_199,dblp
0,197,1645,16,74,1678,520,272,0,192,8,709,408,361,67,query_sparse_16_46,dblp
0,23,259,27,19,258,0,0,0,38,32,164,379,361,50,query_dense_8_13,dblp
0,429,3144,128,49,3232,0,0,0,934,91,629,0,0,763,query_dense_32_82,dblp
0,211,1016,2,31,930,343,98,1845,371,10,51,454,910,0,query_sparse_8_137,dblp
0,0,1013,0,0,1036,0,0,0,0,0,0,0,0,0,query_dense_4_130,dblp
0,116,880,12,14,906,175,202,0,38,31,123,1122,554,0,query_sparse_8_153,dblp
0,206,951,67,95,925,273,117,1310,228,79,497,840,343,194,query_dense_16_99,dblp
0,442,3478,9,315,3577,1400,1022,2408,180,59,368,457,127,0,query_sparse_24_195,dblp
0,346,272,54,41,275,0,0,0,669,93,274,683,49,175,query_dense_16_148,dblp
0,538,3436,54,133,3533,924,265,0,361,156,1148,476,715,50,query_sparse_32_198,dblp
0,451,2584,28,277,2635,1535,1036,1341,347,30,367,962,979,38,query_sparse_24_4,dblp
0,62,1405,35,95,1446,0,0,0,155,33,431,264,61,200,query_dense_16_175,dblp
0,37,170,13,0,0,0,0,0,82,20,172,0,0,0,query_dense_4_169,dblp
0,0,1029,0,0,1054,0,0,0,0,0,0,0,0,0,query_dense_4_163,dblp
0,303,1277,37,93,1325,115,55,0,528,27,265,1849,257,167,query_dense_16_6,dblp
0,131,124,10,76,126,197,62,0,127,35,99,574,65,0,query_sparse_8_17,dblp
0,12,342,12,0,0,0,0,0,0,0,0,724,624,0,query_dense_4_5,dblp
0,803,3630,19,238,3719,1885,945,0,216,39,800,1031,934,0,query_sparse_24_144,dblp
0,342,3783,105,154,3876,192,85,0,439,120,745,1099,667,311,query_dense_32_3,dblp
0,236,219,18,25,219,504,120,0,291,63,58,674,388,0,query_sparse_8_148,dblp
0,407,107,11,48,107,277,40,0,989,2,107,295,139,60,query_dense_8_6,dblp
0,629,4098,25,341,4200,1565,876,3042,517,102,379,932,596,33,query_sparse_32_37,dblp
0,201,734,15,63,747,150,93,0,339,13,202,644,267,31,query_sparse_8_160,dblp
0,294,2705,28,163,2771,546,299,0,303,78,433,799,699,0,query_sparse_16_179,dblp
0,610,2149,20,118,2203,1178,341,2227,617,42,350,702,757,0,query_sparse_16_6,dblp
0,245,1619,115,95,1666,280,183,1963,229,114,641,842,271,368,query_dense_24_118,dblp
0,164,706,29,57,728,118,57,0,315,21,186,504,223,36,query_sparse_8_19,dblp
0,246,79,81,49,79,0,0,0,744,79,79,711,73,479,query_dense_16_79,dblp
0,352,4423,36,116,4508,743,522,0,336,45,293,964,586,72,query_sparse_24_120,dblp
0,0,0,37,0,0,0,0,0,0,0,0,0,0,90,query_dense_4_129,dblp
0,318,821,127,117,828,392,325,366,556,158,629,1353,794,475,query_dense_32_167,dblp
0,678,5425,43,239,5563,1345,544,3797,471,138,683,1430,1304,0,query_sparse_32_61,dblp
0,307,2214,17,75,2260,688,596,1499,206,95,246,1319,1107,0,query_sparse_16_5,dblp
0,366,2250,17,158,2335,799,375,0,134,47,94,996,321,0,query_sparse_16_105,dblp
0,283,1090,115,76,1121,198,146,0,417,184,493,1233,423,310,query_dense_32_120,dblp
0,170,3448,57,48,3538,128,56,0,150,71,489,472,298,238,query_dense_24_198,dblp
0,351,89,17,1,72,448,10,0,682,10,39,432,179,79,query_dense_8_131,dblp
0,160,803,41,40,817,192,70,0,207,92,297,889,225,127,query_dense_16_151,dblp
0,260,616,116,85,623,93,55,0,425,157,619,354,279,373,query_dense_24_32,dblp
0,188,1964,22,51,1483,686,991,6372,64,36,538,66,54,0,query_sparse_16_78,dblp
0,361,1770,81,106,1816,396,169,2024,453,67,231,1170,286,335,query_dense_16_41,dblp
0,217,1934,22,80,1979,226,7,3183,204,72,920,304,505,0,query_sparse_16_130,dblp
0,19,13,20,0,0,0,0,0,35,5,13,222,28,129,query_dense_8_184,dblp
0,319,6832,40,143,6819,729,787,4797,121,67,448,1396,969,29,query_sparse_32_34,dblp
0,764,4091,6,509,4218,1383,583,2748,599,28,260,549,421,0,query_sparse_24_190,dblp
0,649,3876,33,325,3976,1797,1207,1954,454,128,847,681,374,7,query_sparse_32_164,dblp
0,15,317,22,0,0,0,0,0,0,0,0,661,543,0,query_dense_4_178,dblp
0,85,1116,20,8,1146,150,72,0,72,14,39,636,146,46,query_sparse_8_197,dblp
0,30,148,5,0,0,0,0,0,66,14,148,0,0,0,query_dense_4_11,dblp
0,290,1050,105,60,1072,0,0,0,649,96,516,0,0,382,query_dense_24_196,dblp
0,0,0,32,0,0,0,0,0,0,0,0,0,0,80,query_dense_4_26,dblp
0,137,692,529,42,656,70,37,0,367,69,472,1183,713,1077,query_dense_32_25,dblp
0,287,353,30,37,358,450,39,0,419,29,163,786,604,38,query_dense_8_169,dblp
0,390,2830,45,108,2870,806,1243,5208,339,109,810,862,980,0,query_sparse_24_118,dblp
0,310,3164,26,197,3237,588,324,0,304,66,669,1105,656,12,query_sparse_24_199,dblp
0,1851,1706,24,433,1775,3056,255,0,1629,84,488,1122,674,15,query_sparse_24_132,dblp
0,113,107,48,22,107,0,0,0,261,22,111,0,0,122,query_dense_8_162,dblp
0,364,4442,28,116,4476,607,425,1806,357,34,626,843,1677,0,query_sparse_24_193,dblp
0,435,5847,49,124,5969,628,310,0,574,72,897,831,455,98,query_sparse_32_95,dblp
0,526,2943,29,358,2842,1653,694,3543,88,64,551,1675,1136,0,query_sparse_24_119,dblp
0,31,172,12,0,0,0,0,0,77,24,175,0,0,0,query_dense_4_149,dblp
0,0,0,8,0,0,0,0,0,0,0,0,0,0,42,query_dense_4_197,dblp
0,316,1309,67,151,1325,243,322,0,388,167,808,1720,1229,40,query_dense_24_83,dblp
0,277,2933,3,187,3004,637,769,5550,47,10,217,69,353,0,query_sparse_16_48,dblp
0,681,4122,26,452,4205,1806,1565,1068,395,87,403,430,425,0,query_sparse_32_58,dblp
0,150,323,68,98,325,179,145,0,177,70,227,1129,463,165,query_dense_16_194,dblp
0,592,3612,8,212,3753,1188,926,8692,15,40,54,0,0,0,query_sparse_16_61,dblp
0,1122,1695,15,573,1733,2372,836,3819,430,84,376,0,0,0,query_sparse_16_196,dblp
0,310,364,13,87,366,731,345,0,179,29,108,1053,533,0,query_sparse_8_134,dblp
0,549,5031,111,164,5004,353,250,0,1060,121,314,2939,911,510,query_dense_32_10,dblp
0,114,1432,48,27,1430,44,10,0,172,47,393,202,139,277,query_dense_24_155,dblp
0,355,2681,77,260,2759,547,525,1986,431,69,559,779,721,285,query_dense_32_110,dblp
0,303,355,15,71,352,295,63,0,653,13,359,322,210,37,query_sparse_8_150,dblp
0,190,1773,46,66,1810,136,148,0,281,78,764,355,169,166,query_dense_24_82,dblp
0,422,281,15,100,278,353,63,0,868,16,284,509,220,24,query_sparse_8_23,dblp
0,577,2357,8,336,2416,1152,522,2895,321,28,433,946,897,0,query_sparse_16_109,dblp
0,0,0,15,0,0,0,0,0,0,0,0,0,0,45,query_dense_4_166,dblp
0,267,1712,10,228,1737,770,1140,1829,162,43,330,749,678,0,query_sparse_16_173,dblp
0,219,145,33,1,123,299,102,0,169,51,145,1651,294,66,query_dense_8_135,dblp
0,292,239,63,28,244,0,0,0,758,30,239,0,0,303,query_dense_16_46,dblp
0,944,975,9,262,1017,1616,224,2294,1098,61,239,1223,236,10,query_sparse_16_94,dblp
0,647,670,14,301,680,1526,339,2606,282,54,664,0,0,0,query_sparse_16_185,dblp
0,89,3169,14,61,3105,239,587,4406,43,10,351,427,1317,0,query_sparse_16_63,dblp
0,285,3235,80,98,3232,408,357,0,231,136,666,1953,1197,174,query_dense_32_154,dblp
0,179,1094,54,14,1130,0,0,0,290,61,608,627,113,151,query_dense_16_54,dblp
0,69,34,38,0,0,0,0,0,182,52,34,0,0,216,query_dense_8_159,dblp
0,375,469,49,214,472,363,296,657,539,86,282,2662,900,170,query_dense_16_196,dblp
0,658,3265,34,190,3348,1141,540,3021,452,101,856,1688,1007,0,query_sparse_24_115,dblp
0,358,3106,154,69,3148,240,117,0,741,167,696,1294,1108,831,query_dense_32_137,dblp
0,403,5137,29,242,5136,1277,1326,1697,104,50,568,484,601,0,query_sparse_32_89,dblp
0,399,2816,72,167,2914,413,405,1225,379,97,630,2695,1490,245,query_dense_32_146,dblp
0,1116,2943,60,207,3031,2616,1099,0,617,218,527,2982,583,41,query_sparse_32_39,dblp
0,222,1502,27,117,1538,212,83,0,272,51,413,660,106,88,query_dense_16_140,dblp
0,719,4626,26,396,4736,1709,1177,0,572,33,606,1155,553,68,query_sparse_32_114,dblp
0,217,199,22,21,95,537,199,0,268,68,97,1376,371,0,query_sparse_8_117,dblp
0,53,644,45,17,653,25,22,0,69,40,586,536,590,115,query_dense_16_144,dblp
0,351,4853,31,122,4762,1247,1417,6324,57,59,542,1591,1957,0,query_sparse_32_108,dblp
0,413,1784,55,107,1834,269,186,0,783,37,872,1526,788,406,query_dense_24_76,dblp
0,536,5134,40,162,5224,692,215,4013,531,70,1164,747,903,31,query_sparse_32_86,dblp
0,512,4447,45,243,4542,900,487,0,430,110,877,1645,1186,29,query_sparse_32_21,dblp
0,352,1925,19,159,1972,953,1195,1507,123,49,583,0,0,0,query_sparse_16_180,dblp
0,167,942,54,12,964,0,0,0,230,112,400,0,0,189,query_dense_24_92,dblp
0,266,3257,180,73,3371,230,105,0,525,27,107,1498,384,1124,query_dense_32_5,dblp
0,0,1032,0,0,1054,0,0,0,0,0,0,0,0,0,query_dense_4_148,dblp
0,67,210,47,54,213,0,0,0,144,29,211,0,0,172,query_dense_8_108,dblp
0,0,0,36,0,0,0,0,0,0,0,0,0,0,80,query_dense_4_200,dblp
0,380,6951,21,125,7084,967,901,6680,221,37,841,277,632,35,query_sparse_32_82,dblp
0,243,2047,62,159,2114,177,50,0,418,54,511,1282,418,357,query_dense_24_29,dblp
0,347,645,42,162,476,390,68,0,518,121,300,1800,1033,61,query_dense_16_25,dblp
0,1233,6273,1,669,6452,2550,1839,5785,280,7,408,188,110,0,query_sparse_32_94,dblp
0,846,2426,22,237,2476,2069,1267,4185,491,79,709,156,125,0,query_sparse_24_157,dblp
0,290,1246,128,122,1283,184,19,0,528,114,410,743,783,642,query_dense_32_122,dblp
0,431,129,23,51,129,0,0,0,942,2,130,565,103,85,query_dense_8_20,dblp
0,42,1058,39,7,1083,0,0,0,82,2,59,0,0,185,query_dense_8_78,dblp
0,1183,4233,0,1241,4378,2831,2206,4832,380,11,488,119,190,0,query_sparse_32_158,dblp
0,0,0,33,0,0,0,0,0,0,0,0,0,0,73,query_dense_4_24,dblp
0,424,3511,34,156,3623,903,878,3564,257,104,603,424,550,0,query_sparse_24_111,dblp
0,267,1298,175,160,1371,0,0,0,874,92,238,303,154,725,query_dense_24_13,dblp
0,141,54,39,0,0,203,46,0,232,80,53,632,100,90,query_dense_8_132,dblp
0,36,585,27,2,439,113,145,0,1,27,159,1160,933,0,query_sparse_8_75,dblp
0,96,2438,31,46,2518,0,0,0,171,20,59,0,0,179,query_dense_16_115,dblp
0,347,15,33,0,0,0,0,0,882,0,15,0,0,279,query_dense_8_177,dblp
0,188,551,4,113,548,562,591,2427,212,15,372,511,393,0,query_sparse_8_2,dblp
0,931,6001,27,274,6174,1575,453,7352,470,99,191,574,428,11,query_sparse_32_43,dblp
0,546,4071,51,210,4154,993,501,2004,489,111,1208,623,518,55,query_sparse_32_128,dblp
0,139,629,7,88,637,122,213,0,160,17,414,896,531,0,query_sparse_8_147,dblp
0,281,1003,120,52,1036,83,52,0,501,119,372,697,507,705,query_dense_24_119,dblp
0,673,3957,9,458,4128,1822,757,3694,116,26,306,91,122,13,query_sparse_24_99,dblp
0,231,1471,308,33,1508,331,94,0,507,25,285,435,320,1310,query_dense_24_167,dblp
