Data,Pattern,Algorithm,Load and preprocess time,Filtering time,Ordering time,Enumeration time,Total time,#Embeddings
human,query_dense_4_168,DPiso,0.02472537,0.00046182,1.449e-05,0.00613103,0.03133271,74796
human,query_dense_4_74,GraphQL,0.03163383,0.00071011,1.54e-05,0.09948328,0.13184262,937568
human,query_dense_4_136,GraphQL,0.02807836,0.00110736,1.993e-05,1.1600999,1.18930555,10752024
human,query_sparse_8_15,ORBIT,0.04117712,0.00136891,2.132e-05,6.31917439,6.361741739999999,631583092
human,query_sparse_8_12,DPiso,0.02662,0.00042082,2.669e-05,1690.88538426,1690.91245177,58812781224
human,query_dense_4_139,TurboISO,0.02531591,0.00017427,1.959e-05,0.11653057,0.14204034,2297596
human,query_dense_4_2,VF2++,0.05125203,4.208e-05,3.077e-05,0.87243054,0.92375542,14712360
human,query_dense_4_11,TurboISO,0.01916621,0.00010926,1.901e-05,0.00427833,0.02357281,74033
human,query_dense_16_85,ORBIT,0.01960714,0.00147105,4.685e-05,82.21584781,82.23697285,11107908000
human,query_sparse_8_94,ORBIT,0.01947162,0.00140292,2.369e-05,76.3831969,76.40409513,9237770976
human,query_sparse_8_39,ORBIT,0.01934582,0.00135183,2.341e-05,4.264326,4.285047059999999,569801792
human,query_sparse_8_167,ORBIT,0.01936916,0.00135245,2.292e-05,3.79499118,3.81573571,558393372
human,query_dense_16_165,GraphQL,0.03755335,0.00050166,3.56e-05,0.14798382,0.18607442999999999,1598400
human,query_dense_4_23,TurboISO,0.01935892,0.00011755,2.28e-05,0.00060512,0.020104390000000003,89069
human,query_sparse_8_74,GraphQL,0.03312979,0.00040394,1.573e-05,106.71373478,106.74728424,1989878990
human,query_dense_4_122,TurboISO,0.03087244,0.0003118,2.572e-05,0.00709001,0.03829997,649382
human,query_dense_8_175,GraphQL,0.05639483,0.00043487,1.672e-05,994.30059924,994.35744566,31900674624
human,query_dense_12_11,DPiso,0.02993711,0.00019546,1.51e-05,261.67425218,261.70439985,8880248520
human,query_dense_4_108,ORBIT,0.01969736,0.00199639,2.036e-05,0.0955414,0.11725551000000001,8804922
human,query_sparse_12_132,DPiso,0.03970904,0.0002215,1.734e-05,182.94507991,182.98502779,28998620352
human,query_dense_4_106,TurboISO,0.01963148,0.00020456,2.007e-05,0.08539003,0.10524614,1056980
human,query_dense_4_179,GraphQL,0.03090408,0.00030939,1.628e-05,0.26586679,0.29709654,3468378
human,query_dense_8_173,GraphQL,0.0328147,0.00026465,1.595e-05,424.90297672,424.93607202000004,4350427776
human,query_dense_4_62,DPiso,0.02943945,0.00065411,1.796e-05,1.01949635,1.04960787,15933640
human,query_dense_4_39,GraphQL,0.04197874,0.00072077,1.542e-05,1.77270828,1.81542321,42554404
human,query_dense_8_39,ORBIT,0.01961139,0.00143521,2.712e-05,24.06230401,24.08337773,2470435248
human,query_dense_4_133,DPiso,0.03112262,0.00026043,1.666e-05,0.13552538,0.16692509,6147120
human,query_sparse_16_77,ORBIT,0.01949336,0.00152274,4.147e-05,360.29676452,360.31782209,60168165120
human,query_dense_8_113,TurboISO,0.02005374,0.00020674,2.374e-05,1107.64848966,1107.66877388,25351964784
human,query_sparse_12_105,ORBIT,0.04021871,0.00144204,2.921e-05,0.14680656,0.18849652,10947456
human,query_dense_4_4,VF2++,0.03567289,3.068e-05,3.402e-05,0.00462549,0.04036308,76998
human,query_sparse_8_128,VF2++,0.03937092,0.00010174,3.564e-05,0.08631303,0.12582133,1156428
human,query_dense_8_125,ORBIT,0.02545409,0.00138198,2.62e-05,6.041e-05,0.02692268,720
human,query_sparse_8_120,GraphQL,0.02429446,0.00055224,1.647e-05,327.40255421,327.42741738,457420566
human,query_sparse_8_148,TurboISO,0.02497222,0.00059367,2.756e-05,1321.96803533,1321.99362878,66217914896
human,query_dense_4_23,ORBIT,0.02456571,0.00136188,1.988e-05,0.00075054,0.02669801,86488
human,query_sparse_12_101,VF2++,0.02838273,0.00011674,4.724e-05,330.56258573,330.59113244,12092839200
human,query_dense_4_70,GraphQL,0.04985847,0.00044162,1.583e-05,0.04346181,0.09377773,1885757
human,query_sparse_8_186,VF2++,0.02158969,4.552e-05,3.528e-05,227.95853838,227.98020886999998,9228552048
human,query_dense_4_174,TurboISO,0.03676807,0.00032357,2.051e-05,0.28619032,0.32330247,4799746
human,query_dense_4_173,GraphQL,0.05029006,0.0005554,1.488e-05,1.56438811,1.6152484500000002,14712360
human,query_dense_8_73,TurboISO,0.02844297,0.0001405,2.113e-05,358.68691294,358.71551754,11331378744
human,query_dense_4_188,VF2++,0.03684082,3.657e-05,3.252e-05,0.12444632,0.16135623,6026368
human,query_dense_8_26,TurboISO,0.03234535,0.00039778,2.522e-05,1467.10559724,1467.13836559,44294373948
human,query_dense_4_89,VF2++,0.04505208,6.948e-05,3.316e-05,0.03605087,0.08120559,1067570
human,query_dense_16_9,DPiso,0.031512,0.00013623,1.708e-05,3.32917172,3.3608370300000003,2384640
human,query_dense_8_4,DPiso,0.02709862,0.00107888,1.511e-05,174.06285598,174.09104858999999,1100923920
human,query_dense_4_4,GraphQL,0.02829872,0.00024045,1.462e-05,0.07095136,0.09950515,76998
human,query_dense_4_81,TurboISO,0.04260018,0.00016513,1.939e-05,0.15288538,0.19567008,6147120
human,query_sparse_8_93,GraphQL,0.06030723,0.00034934,1.616e-05,288.5627185,288.62339123000004,15114669918
human,query_dense_8_126,ORBIT,0.02667841,0.00249389,2.531e-05,1688.81079515,1688.83999276,200642207892
human,query_dense_8_23,DPiso,0.0399381,0.00029537,1.676e-05,97.12543948,97.16568971,1972656000
human,query_dense_8_195,VF2++,0.02770581,8.07e-05,3.398e-05,554.33922343,554.3670439199999,4043882160
human,query_sparse_8_109,ORBIT,0.03026045,0.00189209,2.41e-05,7.0044715,7.0366481400000005,925170720
human,query_dense_4_174,VF2++,0.02904107,7.341e-05,3.357e-05,0.29835658,0.32750462999999996,4799746
human,query_dense_8_139,TurboISO,0.01905186,0.00015698,2.279e-05,931.28555623,931.30478786,137096257440
human,query_dense_8_54,ORBIT,0.03125716,0.00234776,2.805e-05,123.17839133,123.2120243,21461382692
human,query_sparse_8_27,TurboISO,0.04103729,0.00029325,2.431e-05,91.75074742,91.79210227,9837339004
human,query_dense_4_164,GraphQL,0.03671249,0.0003179,1.527e-05,0.06907565,0.10612131,253518
human,query_dense_8_191,DPiso,0.0251156,0.00042898,1.489e-05,546.00975914,546.03531861,7479261960
human,query_dense_8_132,GraphQL,0.03611391,0.00060692,1.582e-05,1759.67377137,1759.71050802,17983975680
human,query_sparse_8_156,DPiso,0.02752776,0.00011416,1.572e-05,1.27146095,1.29911859,40568400
human,query_sparse_20_35,ORBIT,0.01955988,0.0019457,5.479e-05,1.02771513,1.0492755,0
human,query_dense_4_151,TurboISO,0.03493501,0.00010272,2.033e-05,0.00062712,0.035685180000000004,65280
human,query_dense_4_185,GraphQL,0.03658145,0.0002743,1.594e-05,0.56736587,0.6042375600000001,11738800
human,query_sparse_12_196,VF2++,0.03204556,7.931e-05,4.352e-05,1.29438702,1.32655541,92713140
human,query_dense_16_42,DPiso,0.03189384,0.00059325,1.591e-05,0.26479532,0.29729832,29376000
human,query_dense_12_107,TurboISO,0.01916738,0.00011734,2.418e-05,0.00037598,0.019684880000000002,450
human,query_dense_16_53,ORBIT,0.02002737,0.00155587,4.425e-05,457.60161534,457.62324283000004,52439400000
human,query_dense_4_29,ORBIT,0.03979868,0.00153226,2.037e-05,0.00287727,0.04422858,268728
human,query_sparse_8_173,TurboISO,0.02016667,0.00010196,2.556e-05,109.51279821,109.5330924,4383369960
human,query_sparse_8_77,ORBIT,0.03742914,0.00163418,2.488e-05,1041.25458705,1041.29367525,182395293552
human,query_sparse_8_197,DPiso,0.05663598,0.00041816,1.648e-05,0.00122206,0.05829268,65664
human,query_dense_8_137,DPiso,0.03446501,9.041e-05,1.412e-05,0.01860347,0.05317300999999999,1221696
human,query_sparse_8_46,TurboISO,0.0405353,0.00011284,2.479e-05,171.98820802,172.02888095,23207184000
human,query_dense_8_127,TurboISO,0.01884625,0.00015085,2.566e-05,383.58041271,383.59943547,54269816472
human,query_sparse_8_132,TurboISO,0.01959573,0.00021993,2.684e-05,172.23112755,172.25097005,20417143824
human,query_dense_8_100,DPiso,0.03397899,0.00049743,1.566e-05,788.22534495,788.25983703,60504725352
human,query_sparse_8_45,GraphQL,0.03291489,8.613e-05,1.674e-05,0.01124205,0.04425981,471600
human,query_dense_4_110,VF2++,0.04205467,5.216e-05,4.669e-05,0.121202,0.16335552,2297596
